Organisation,Type,Region,Priority (1 = first),Why they matter,Role or person to reach,Named public contact (papers / programme leads only),Website,Channel,Pitch angle,Email,Status,Notes
"Nissan North America (Franklin, TN)",AV fleet / OEM,TN,1,CIRCLES field-test partner; headquartered next to the I-24 corridor,Advanced vehicle engineering; research partnerships,,https://nissanusa.com,Research partnerships page; warm introduction through CIRCLES or Vanderbilt,"Before deploying smoothing at scale, the dose-response on a calibrated real corridor: what 1 to 20 percent penetration does to throughput, travel time and fuel.",,not contacted,
Toyota Motor North America R&D / Toyota Research Institute,AV fleet / OEM,US,1,CIRCLES partner; traffic-smoothing research interest,TRI research; TMNA R&D,,https://tri.global,Research partnerships page; warm introduction through CIRCLES or Vanderbilt,"Before deploying smoothing at scale, the dose-response on a calibrated real corridor: what 1 to 20 percent penetration does to throughput, travel time and fuel.",,not contacted,
Cambridge Systematics,Consultancy,US,1,Modeling and operations planning consultancy; TSMO programme work for DOTs,Modeling practice leads,,https://camsys.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
DKS Associates,Consultancy,US,1,Traffic operations and ITS consultancy (West),Traffic operations principals,,https://dksassociates.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Fehr & Peers,Consultancy,US,1,Simulation-heavy planning consultancy on the West Coast,Simulation and traffic operations leads,,https://fehrandpeers.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Gresham Smith,Consultancy,TN,1,Nashville-based; delivered the I-24 MOTION infrastructure; closest to the flagship,Transportation / ITS practice lead; traffic modeling lead,,https://greshamsmith.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Iteris,Consultancy,US,1,Consultancy plus software (ClearGuide); buys and sells traffic analytics,Consulting services leads; product management,,https://iteris.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Kimley-Horn,Consultancy,US,1,Very large traffic-engineering and microsimulation practice; publishes rate schedules,National TSMO / traffic operations leads; regional simulation leads,,https://kimley-horn.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Kittelson & Associates,Consultancy,US,1,Traffic operations and simulation specialists; HCM and calibration thought leadership,Principals in traffic analysis and simulation,,https://kittelson.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Neel-Schaffer,Consultancy,TN,1,Nashville-region traffic engineering consultancy with TDOT work,Traffic engineering practice lead,,https://neel-schaffer.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Caltrans PeMS,"Data, sensors, integrators",CA,1,Public detector data; loader exists; the DOT-style validation case,PeMS programme (Caltrans Division of Traffic Operations),,https://pems.dot.ca.gov,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
TDOT SmartWay Traffic Management Center,"Data, sensors, integrators",TN,1,Operates the I-24 SMART Corridor gantries; the live path's first actuator,TMC operations manager,,https://smartway.tn.gov,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
FHWA Office of Operations,Federal / industry body,US,1,Owns the Traffic Analysis Toolbox guidance the report follows,"Office of Operations, Transportation Management; Traffic Analysis Tools programme",,https://ops.fhwa.dot.gov,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"A reproducible, open validation record that follows the Traffic Analysis Toolbox; a speaker or demo for a session; SBIR fit.",,not contacted,
FHWA Turner-Fairbank Highway Research Center (Saxton Lab),Federal / industry body,US,1,CAV and traffic-operations research lab; testbed partnerships,Saxton Transportation Operations Laboratory,,https://highways.dot.gov/research,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"A reproducible, open validation record that follows the Traffic Analysis Toolbox; a speaker or demo for a session; SBIR fit.",,not contacted,
Institute of Transportation Engineers (ITE),Federal / industry body,US,1,Practitioner community; section meetings are the consultant channel,"ITE sections (Tennessee, Texas, Florida); TSMO council",,https://ite.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"A reproducible, open validation record that follows the Traffic Analysis Toolbox; a speaker or demo for a session; SBIR fit.",,not contacted,
TRB Traffic Flow Theory and Characteristics Committee (ACP50),Federal / industry body,US,1,The academic community for this exact problem; Annual Meeting,Committee chair; annual meeting sessions,,https://trb.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"A reproducible, open validation record that follows the Traffic Analysis Toolbox; a speaker or demo for a session; SBIR fit.",,not contacted,
Atlanta Regional Commission (ARC),MPO / regional agency,GA,1,Atlanta freeways; strong modeling group,"Transportation Access and Mobility, Modeling",,https://atlantaregional.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Greater Nashville Regional Council (GNRC),MPO / regional agency,TN,1,Nashville area MPO; the flagship corridor is in its region,Transportation Director; travel demand modeling lead,,https://gnrc.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Houston-Galveston Area Council (H-GAC),MPO / regional agency,TX,1,Large freeway network; active modeling group,"Transportation Planning, Travel Modeling",,https://h-gac.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Maricopa Association of Governments (MAG),MPO / regional agency,AZ,1,Phoenix; very active modeling and operations planning,Transportation Technologies and Services; Modeling,,https://azmag.gov,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
"Metropolitan Transportation Commission (MTC, Bay Area)",MPO / regional agency,CA,1,Bay Area; PeMS; Berkeley labs nearby,Data and Modeling; Operations (Bay Area Forward),,https://mtc.ca.gov,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
